,song,singer,id,url,preview_urls,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature,hot,cluster
0,As It Was,Harry Styles,4LRPiXqCikLlN15c3yImP7,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,https://p.scdn.co/mp3-preview/c871f7a3b36ad708640a833fbf7a0b9e84c5b688?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.52,0.731,6.0,-5.338,0.0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4LRPiXqCikLlN15c3yImP7,spotify:track:4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/audio-analysis/4LRPiXqCikLlN15c3yImP7,167303.0,4.0,True,7
1,First Class,Jack Harlow,1rDQ4oMwGJI7B4tovsBOxc,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc,https://p.scdn.co/mp3-preview/27913e771fb16c5439eb7e2bbc9cf62a8be09653?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.905,0.563,8.0,-6.135,1.0,0.102,0.0254,9.71e-06,0.113,0.324,106.998,audio_features,1rDQ4oMwGJI7B4tovsBOxc,spotify:track:1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/tracks/1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/audio-analysis/1rDQ4oMwGJI7B4tovsBOxc,173948.0,4.0,True,5
2,Wait For U,Future Featuring Drake & Tems,59nOXPmaKlBfGMDeOVGrIK,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK,https://p.scdn.co/mp3-preview/a225651eb324272ab25dbf3b757db8d6420b0f4a?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.463,0.642,1.0,-4.474,1.0,0.34,0.314,0.0,0.0686,0.339,83.389,audio_features,59nOXPmaKlBfGMDeOVGrIK,spotify:track:59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/tracks/59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/audio-analysis/59nOXPmaKlBfGMDeOVGrIK,189893.0,4.0,True,11
3,Late Night Talking,Harry Styles,1qEmFfgcLObUfQm0j1W2CK,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK,https://p.scdn.co/mp3-preview/ab3568a72e1c016308c263854dc307251ce33a2b?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.714,0.728,10.0,-4.595,1.0,0.0468,0.298,0.0,0.106,0.901,114.996,audio_features,1qEmFfgcLObUfQm0j1W2CK,spotify:track:1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/tracks/1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/audio-analysis/1qEmFfgcLObUfQm0j1W2CK,177955.0,4.0,True,5
4,About Damn Time,Lizzo,1PckUlxKqWQs3RlWXVBLw3,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3,https://p.scdn.co/mp3-preview/1e881f08e10f2f8dbac20185389fdacb1ea42342?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.836,0.743,10.0,-6.305,0.0,0.0656,0.0995,0.0,0.335,0.722,108.966,audio_features,1PckUlxKqWQs3RlWXVBLw3,spotify:track:1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/tracks/1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/audio-analysis/1PckUlxKqWQs3RlWXVBLw3,191822.0,4.0,True,1
5,Heat Waves,Glass Animals,3USxtqRwSYz57Ewm6wWRMp,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805.0,4.0,True,5
6,Big Energy,Latto,6Zu3aw7FfjAF9WA0fA81Oq,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq,https://p.scdn.co/mp3-preview/ab84902c58e0faf02cf65f5658d85a8071f55aab?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.935,0.807,11.0,-3.838,0.0,0.114,0.0514,0.0,0.349,0.813,106.017,audio_features,6Zu3aw7FfjAF9WA0fA81Oq,spotify:track:6Zu3aw7FfjAF9WA0fA81Oq,https://api.spotify.com/v1/tracks/6Zu3aw7FfjAF9WA0fA81Oq,https://api.spotify.com/v1/audio-analysis/6Zu3aw7FfjAF9WA0fA81Oq,173182.0,4.0,True,1
7,Music For A Sushi Restaurant,Harry Styles,5LYMamLv12UPbemOaTPyeV,https://open.spotify.com/track/5LYMamLv12UPbemOaTPyeV,https://p.scdn.co/mp3-preview/b362f060e5b9261aca193c58e694b1f097d2cd41?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.72,0.715,11.0,-4.652,1.0,0.04,0.258,0.0568,0.107,0.357,107.041,audio_features,5LYMamLv12UPbemOaTPyeV,spotify:track:5LYMamLv12UPbemOaTPyeV,https://api.spotify.com/v1/tracks/5LYMamLv12UPbemOaTPyeV,https://api.spotify.com/v1/audio-analysis/5LYMamLv12UPbemOaTPyeV,193813.0,4.0,True,5
8,Matilda,Harry Styles,6uvh0In7u1Xn4HgxOfAn8O,https://open.spotify.com/track/6uvh0In7u1Xn4HgxOfAn8O,https://p.scdn.co/mp3-preview/518523b38559457598c87bcd5765c0c1acbfbf32?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.507,0.294,2.0,-10.0,1.0,0.04,0.896,1.97e-05,0.0966,0.386,114.199,audio_features,6uvh0In7u1Xn4HgxOfAn8O,spotify:track:6uvh0In7u1Xn4HgxOfAn8O,https://api.spotify.com/v1/tracks/6uvh0In7u1Xn4HgxOfAn8O,https://api.spotify.com/v1/audio-analysis/6uvh0In7u1Xn4HgxOfAn8O,245964.0,4.0,True,11
9,Me Porto Bonito,Bad Bunny & Chencho Corleone,6Sq7ltF9Qa7SNFBsV5Cogx,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx,https://p.scdn.co/mp3-preview/8513b15fb5b39966d8eccaa7b8c050c7a570e6e8?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.911,0.712,1.0,-5.105,0.0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,audio_features,6Sq7ltF9Qa7SNFBsV5Cogx,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx,178567.0,4.0,True,6
10,Enemy,Imagine Dragons X JID,1r9xUipOqoNwggBpENDsvJ,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,,0.728,0.783,11.0,-4.424,0.0,0.266,0.237,0.0,0.434,0.555,77.011,audio_features,1r9xUipOqoNwggBpENDsvJ,spotify:track:1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/tracks/1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/audio-analysis/1r9xUipOqoNwggBpENDsvJ,173381.0,4.0,True,1
11,Stay,The Kid LAROI & Justin Bieber,5HCyWlXZPP0y6Gqq8TgA20,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20,https://p.scdn.co/mp3-preview/40a8daf1f3cbb5c6363e68de859ba4af3377344c?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,True,3
12,Daylight,Harry Styles,51Zw1cKDgkad0CXv23HCMU,https://open.spotify.com/track/51Zw1cKDgkad0CXv23HCMU,https://p.scdn.co/mp3-preview/9b28d8c4c2becdac3115eb7cba9680ef34bf64ab?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.686,0.445,0.0,-7.189,1.0,0.0398,0.484,0.00144,0.175,0.626,145.5,audio_features,51Zw1cKDgkad0CXv23HCMU,spotify:track:51Zw1cKDgkad0CXv23HCMU,https://api.spotify.com/v1/tracks/51Zw1cKDgkad0CXv23HCMU,https://api.spotify.com/v1/audio-analysis/51Zw1cKDgkad0CXv23HCMU,164533.0,3.0,True,10
13,Little Freak,Harry Styles,3i058E8uxTsYqJ5NWZzqSj,https://open.spotify.com/track/3i058E8uxTsYqJ5NWZzqSj,https://p.scdn.co/mp3-preview/88518a721baea74fa5dd7ddd69a8295af54b0871?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.559,0.535,3.0,-7.723,1.0,0.039,0.719,0.000143,0.0954,0.402,141.96,audio_features,3i058E8uxTsYqJ5NWZzqSj,spotify:track:3i058E8uxTsYqJ5NWZzqSj,https://api.spotify.com/v1/tracks/3i058E8uxTsYqJ5NWZzqSj,https://api.spotify.com/v1/audio-analysis/3i058E8uxTsYqJ5NWZzqSj,202183.0,4.0,True,3
14,Grapejuice,Harry Styles,4j6kId9QIqhoXvqHKgSKa0,https://open.spotify.com/track/4j6kId9QIqhoXvqHKgSKa0,https://p.scdn.co/mp3-preview/71e626d72bda1f0fd57e5405105d1db313b0c495?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.645,0.721,5.0,-4.394,1.0,0.0336,0.357,0.143,0.204,0.88,182.928,audio_features,4j6kId9QIqhoXvqHKgSKa0,spotify:track:4j6kId9QIqhoXvqHKgSKa0,https://api.spotify.com/v1/tracks/4j6kId9QIqhoXvqHKgSKa0,https://api.spotify.com/v1/audio-analysis/4j6kId9QIqhoXvqHKgSKa0,191959.0,4.0,True,9
15,Titi Me Pregunto,Bad Bunny,1IHWl5LamUGEuP4ozKQSXZ,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ,https://p.scdn.co/mp3-preview/a174cca3a21422be508f4e108ea1c04114e42538?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.65,0.715,5.0,-5.198,0.0,0.253,0.0993,0.000291,0.126,0.187,106.672,audio_features,1IHWl5LamUGEuP4ozKQSXZ,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/tracks/1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/audio-analysis/1IHWl5LamUGEuP4ozKQSXZ,243717.0,4.0,True,6
16,Moscow Mule,Bad Bunny,6Xom58OOXk2SoU711L2IXO,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO,https://p.scdn.co/mp3-preview/585736d2d4dba1eef13b6d63c54dd4c16a3275fb?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.804,0.674,5.0,-5.453,0.0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,audio_features,6Xom58OOXk2SoU711L2IXO,spotify:track:6Xom58OOXk2SoU711L2IXO,https://api.spotify.com/v1/tracks/6Xom58OOXk2SoU711L2IXO,https://api.spotify.com/v1/audio-analysis/6Xom58OOXk2SoU711L2IXO,245940.0,4.0,True,6
17,Ghost,Justin Bieber,6I3mqTwhRpn34SLVafSH7G,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G,,0.601,0.741,2.0,-5.569,1.0,0.0478,0.185,2.91e-05,0.415,0.441,153.96,audio_features,6I3mqTwhRpn34SLVafSH7G,spotify:track:6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/tracks/6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/audio-analysis/6I3mqTwhRpn34SLVafSH7G,153190.0,4.0,True,8
18,Woman,Doja Cat,6Uj1ctrBOjOas8xZXGqKk4,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4,https://p.scdn.co/mp3-preview/01b49a95f322c2c708b48e56a9da43777620af9b?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.824,0.764,5.0,-4.175,0.0,0.0854,0.0888,0.00294,0.117,0.881,107.998,audio_features,6Uj1ctrBOjOas8xZXGqKk4,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/tracks/6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/audio-analysis/6Uj1ctrBOjOas8xZXGqKk4,172627.0,4.0,True,6
19,N95,Kendrick Lamar,0fX4oNGBWO3dSGUZcVdVV2,https://open.spotify.com/track/0fX4oNGBWO3dSGUZcVdVV2,,0.79,0.67,1.0,-5.527,1.0,0.105,0.377,2.32e-06,0.119,0.408,139.956,audio_features,0fX4oNGBWO3dSGUZcVdVV2,spotify:track:0fX4oNGBWO3dSGUZcVdVV2,https://api.spotify.com/v1/tracks/0fX4oNGBWO3dSGUZcVdVV2,https://api.spotify.com/v1/audio-analysis/0fX4oNGBWO3dSGUZcVdVV2,195950.0,4.0,True,11
20,Satellite,Harry Styles,0rzaRSujxA0bKyjJl6vHYq,https://open.spotify.com/track/0rzaRSujxA0bKyjJl6vHYq,https://p.scdn.co/mp3-preview/5612de881ffc72dce29adc6338ec1087564dd546?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.576,0.457,0.0,-6.473,1.0,0.0304,0.143,3.05e-05,0.0917,0.301,138.984,audio_features,0rzaRSujxA0bKyjJl6vHYq,spotify:track:0rzaRSujxA0bKyjJl6vHYq,https://api.spotify.com/v1/tracks/0rzaRSujxA0bKyjJl6vHYq,https://api.spotify.com/v1/audio-analysis/0rzaRSujxA0bKyjJl6vHYq,218577.0,4.0,True,3
21,Cinema,Harry Styles,35TyJIMR3xRouUuo2sjS6v,https://open.spotify.com/track/35TyJIMR3xRouUuo2sjS6v,https://p.scdn.co/mp3-preview/062aabb5ca209241a4e10b7d028bc025e9e33bfd?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.829,0.644,9.0,-7.696,0.0,0.0427,0.354,0.0511,0.0944,0.896,105.993,audio_features,35TyJIMR3xRouUuo2sjS6v,spotify:track:35TyJIMR3xRouUuo2sjS6v,https://api.spotify.com/v1/tracks/35TyJIMR3xRouUuo2sjS6v,https://api.spotify.com/v1/audio-analysis/35TyJIMR3xRouUuo2sjS6v,243508.0,4.0,True,1
22,Wasted On You,Morgan Wallen,3cBsEDNhFI9E82vPj3kvi3,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3,,0.505,0.657,11.0,-5.24,0.0,0.0318,0.373,0.00107,0.126,0.252,196.0,audio_features,3cBsEDNhFI9E82vPj3kvi3,spotify:track:3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/tracks/3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/audio-analysis/3cBsEDNhFI9E82vPj3kvi3,178520.0,3.0,True,10
23,Daydreaming,Harry Styles,69w5X6uTrOaWM32IetSzvO,https://open.spotify.com/track/69w5X6uTrOaWM32IetSzvO,https://p.scdn.co/mp3-preview/d3bef526a8f674ec6c638ae9a453d2639a250bec?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.707,0.811,4.0,-5.298,0.0,0.0304,0.311,0.0152,0.131,0.899,113.971,audio_features,69w5X6uTrOaWM32IetSzvO,spotify:track:69w5X6uTrOaWM32IetSzvO,https://api.spotify.com/v1/tracks/69w5X6uTrOaWM32IetSzvO,https://api.spotify.com/v1/audio-analysis/69w5X6uTrOaWM32IetSzvO,187342.0,4.0,True,6
24,Keep Driving,Harry Styles,2NcQic8JxdjAlAHuNbOIRE,https://open.spotify.com/track/2NcQic8JxdjAlAHuNbOIRE,https://p.scdn.co/mp3-preview/09ea3680de35c0030f202bf04787698557927bdb?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.721,0.479,9.0,-9.669,1.0,0.226,0.321,0.00156,0.182,0.902,164.948,audio_features,2NcQic8JxdjAlAHuNbOIRE,spotify:track:2NcQic8JxdjAlAHuNbOIRE,https://api.spotify.com/v1/tracks/2NcQic8JxdjAlAHuNbOIRE,https://api.spotify.com/v1/audio-analysis/2NcQic8JxdjAlAHuNbOIRE,140242.0,3.0,True,10
25,You Proof,Morgan Wallen,5uU1uuyaUIBOiiUSQG7Wl3,https://open.spotify.com/track/5uU1uuyaUIBOiiUSQG7Wl3,,0.731,0.85,9.0,-4.913,1.0,0.0336,0.252,0.0,0.605,0.644,119.706,audio_features,5uU1uuyaUIBOiiUSQG7Wl3,spotify:track:5uU1uuyaUIBOiiUSQG7Wl3,https://api.spotify.com/v1/tracks/5uU1uuyaUIBOiiUSQG7Wl3,https://api.spotify.com/v1/audio-analysis/5uU1uuyaUIBOiiUSQG7Wl3,157478.0,4.0,True,4
26,Bad Habits,Ed Sheeran,3rmo8F54jFF8OgYsqTxm5d,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d,https://p.scdn.co/mp3-preview/043f28a973add316f01a36a68f870f588d1dbb8e?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.807,0.893,11.0,-3.745,0.0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,audio_features,3rmo8F54jFF8OgYsqTxm5d,spotify:track:3rmo8F54jFF8OgYsqTxm5d,https://api.spotify.com/v1/tracks/3rmo8F54jFF8OgYsqTxm5d,https://api.spotify.com/v1/audio-analysis/3rmo8F54jFF8OgYsqTxm5d,230747.0,4.0,True,1
27,Boyfriend,Dove Cameron,59CfNbkERJ3NoTXDvoURjj,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj,https://p.scdn.co/mp3-preview/53120317c1fc5576aa178f37ddfa991f6eabf0d6?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.345,0.612,7.0,-6.543,0.0,0.0608,0.232,0.0,0.194,0.232,179.773,audio_features,59CfNbkERJ3NoTXDvoURjj,spotify:track:59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/tracks/59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/audio-analysis/59CfNbkERJ3NoTXDvoURjj,153000.0,3.0,True,10
28,Love Of My Life,Harry Styles,1mw0RgNXIpYRyyCdBQbLgA,https://open.spotify.com/track/1mw0RgNXIpYRyyCdBQbLgA,https://p.scdn.co/mp3-preview/ddef728ce8536cbd20e7332466453de26d615641?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.555,0.536,7.0,-8.233,1.0,0.0452,0.669,0.0,0.0623,0.203,118.057,audio_features,1mw0RgNXIpYRyyCdBQbLgA,spotify:track:1mw0RgNXIpYRyyCdBQbLgA,https://api.spotify.com/v1/tracks/1mw0RgNXIpYRyyCdBQbLgA,https://api.spotify.com/v1/audio-analysis/1mw0RgNXIpYRyyCdBQbLgA,191638.0,4.0,True,2
29,Boyfriends,Harry Styles,6qj02zSeEJGWZ4c0dn5QzJ,https://open.spotify.com/track/6qj02zSeEJGWZ4c0dn5QzJ,https://p.scdn.co/mp3-preview/e550675334ae9eb51fe7b963f63f152fdc70f986?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.417,0.202,0.0,-10.976,1.0,0.0357,0.935,0.0,0.108,0.323,118.029,audio_features,6qj02zSeEJGWZ4c0dn5QzJ,spotify:track:6qj02zSeEJGWZ4c0dn5QzJ,https://api.spotify.com/v1/tracks/6qj02zSeEJGWZ4c0dn5QzJ,https://api.spotify.com/v1/audio-analysis/6qj02zSeEJGWZ4c0dn5QzJ,194544.0,4.0,True,3
30,Party,Bad Bunny & Rauw Alejandro,4tYFy8ALRjIZvnvSLw5lxN,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN,https://p.scdn.co/mp3-preview/4982ab22ba534ab700ddc1f2f9ac143baaad7e24?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.829,0.799,9.0,-5.389,1.0,0.0897,0.0151,0.000543,0.242,0.471,97.013,audio_features,4tYFy8ALRjIZvnvSLw5lxN,spotify:track:4tYFy8ALRjIZvnvSLw5lxN,https://api.spotify.com/v1/tracks/4tYFy8ALRjIZvnvSLw5lxN,https://api.spotify.com/v1/audio-analysis/4tYFy8ALRjIZvnvSLw5lxN,227629.0,4.0,True,5
31,Despues de La Playa,Bad Bunny,1dm6z1fWB0cErMszU25dy2,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2,https://p.scdn.co/mp3-preview/9dddf0cfb0bd4f88b4ec64bf547cd66e569fbf96?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.564,0.903,5.0,-3.221,1.0,0.307,0.356,0.0,0.175,0.607,78.293,audio_features,1dm6z1fWB0cErMszU25dy2,spotify:track:1dm6z1fWB0cErMszU25dy2,https://api.spotify.com/v1/tracks/1dm6z1fWB0cErMszU25dy2,https://api.spotify.com/v1/audio-analysis/1dm6z1fWB0cErMszU25dy2,230400.0,4.0,True,2
32,Super Gremlin,Kodak Black,4A8cWXxKfIL3lAyUDzXbCF,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF,https://p.scdn.co/mp3-preview/31f19878b8810e3a7cc768afde0c2a31090bf430?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.825,0.414,2.0,-6.634,1.0,0.144,0.00265,0.0,0.357,0.106,72.993,audio_features,4A8cWXxKfIL3lAyUDzXbCF,spotify:track:4A8cWXxKfIL3lAyUDzXbCF,https://api.spotify.com/v1/tracks/4A8cWXxKfIL3lAyUDzXbCF,https://api.spotify.com/v1/audio-analysis/4A8cWXxKfIL3lAyUDzXbCF,200548.0,4.0,True,8
33,Thats What I Want,Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO,https://p.scdn.co/mp3-preview/d62f4961618e4b4d40d823a11c6a6c1bf3fbd649?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.737,0.846,1.0,-4.51,0.0,0.22,0.00614,0.0,0.0486,0.546,87.981,audio_features,0e8nrvls4Qqv5Rfa2UhqmO,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/audio-analysis/0e8nrvls4Qqv5Rfa2UhqmO,143901.0,4.0,True,6
34,Numb Little Bug,Em Beihold,3o9kpgkIcffx0iSwxhuNI2,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2,,0.742,0.527,8.0,-6.892,0.0,0.0769,0.327,0.0,0.25,0.638,84.974,audio_features,3o9kpgkIcffx0iSwxhuNI2,spotify:track:3o9kpgkIcffx0iSwxhuNI2,https://api.spotify.com/v1/tracks/3o9kpgkIcffx0iSwxhuNI2,https://api.spotify.com/v1/audio-analysis/3o9kpgkIcffx0iSwxhuNI2,169238.0,4.0,True,1
35,Shivers,Ed Sheeran,50nfwKoDiSYg8zOCREWAm5,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5,https://p.scdn.co/mp3-preview/172691039b5878c61caa8079515b16b6ee91dcc9?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.788,0.859,2.0,-2.724,1.0,0.0856,0.281,0.0,0.0424,0.822,141.02,audio_features,50nfwKoDiSYg8zOCREWAm5,spotify:track:50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/tracks/50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/audio-analysis/50nfwKoDiSYg8zOCREWAm5,207853.0,4.0,True,11
36,Bam Bam,Camila Cabello Featuring Ed Sheeran,0QBzMgT7NIeoCYy3sJCof1,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1,https://p.scdn.co/mp3-preview/c7d17a94330a3789118aa4d7a8823fcc1f049125?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.756,0.697,8.0,-6.377,1.0,0.0401,0.182,0.0,0.333,0.956,94.996,audio_features,0QBzMgT7NIeoCYy3sJCof1,spotify:track:0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/tracks/0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/audio-analysis/0QBzMgT7NIeoCYy3sJCof1,206071.0,4.0,True,5
37,Cold Heart (PNAU Remix),Elton John & Dua Lipa,6zSpb8dQRaw0M1dK8PBwQz,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz,,0.796,0.798,1.0,-6.312,1.0,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,audio_features,6zSpb8dQRaw0M1dK8PBwQz,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/tracks/6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/audio-analysis/6zSpb8dQRaw0M1dK8PBwQz,202735.0,4.0,True,11
38,Puffin On Zootiez,Future,1qMMYpVatbRITKCfq1gasi,https://open.spotify.com/track/1qMMYpVatbRITKCfq1gasi,https://p.scdn.co/mp3-preview/ff3bd626fd7f0bd6af4a429b3119b06ff0aee089?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.883,0.657,8.0,-5.748,1.0,0.305,0.0603,0.0,0.128,0.284,124.992,audio_features,1qMMYpVatbRITKCfq1gasi,spotify:track:1qMMYpVatbRITKCfq1gasi,https://api.spotify.com/v1/tracks/1qMMYpVatbRITKCfq1gasi,https://api.spotify.com/v1/audio-analysis/1qMMYpVatbRITKCfq1gasi,172933.0,4.0,True,5
39,Sweetest Pie,Megan Thee Stallion & Dua Lipa,7mFj0LlWtEJaEigguaWqYh,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh,https://p.scdn.co/mp3-preview/97563b6b9b1b1d28c2d542fe06f70f1a55c6fae1?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.814,0.628,7.0,-7.178,1.0,0.221,0.167,0.0,0.101,0.677,123.977,audio_features,7mFj0LlWtEJaEigguaWqYh,spotify:track:7mFj0LlWtEJaEigguaWqYh,https://api.spotify.com/v1/tracks/7mFj0LlWtEJaEigguaWqYh,https://api.spotify.com/v1/audio-analysis/7mFj0LlWtEJaEigguaWqYh,201334.0,4.0,True,5
40,Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer",2g6tReTlM2Akp41g0HaeXN,https://open.spotify.com/track/2g6tReTlM2Akp41g0HaeXN,,0.775,0.736,1.0,-8.072,0.0,0.247,0.319,0.00116,0.127,0.362,100.988,audio_features,2g6tReTlM2Akp41g0HaeXN,spotify:track:2g6tReTlM2Akp41g0HaeXN,https://api.spotify.com/v1/tracks/2g6tReTlM2Akp41g0HaeXN,https://api.spotify.com/v1/audio-analysis/2g6tReTlM2Akp41g0HaeXN,239027.0,4.0,True,6
41,Something In The Orange,Zach Bryan,3WMj8moIAXJhHsyLaqIIHI,https://open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI,https://p.scdn.co/mp3-preview/7be5cf801c5eb74f5d97b02e632c9e3c3d36bc8d?cid=4b7a6ff9e9e242208bcb12834b0244ac,0.369,0.192,4.0,-12.151,0.0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013.0,3.0,True,10
